10.1.1.115,422.986375ms,115.291µs
10.1.1.112,435.676292ms,73.625µs
10.1.1.113,435.939ms,110.708µs
10.1.1.116,435.846833ms,175.958µs
10.1.1.111,450.209416ms,402.291µs
10.1.1.111,450.18375ms,257.417µs
10.1.1.112,455.65675ms,47.042µs
10.1.1.116,455.996625ms,1.441625ms
10.1.1.114,456.643208ms,50.208µs
10.1.1.113,464.456917ms,58.958µs
10.1.1.116,468.014167ms,93.667µs
10.1.1.116,468.898167ms,414.75µs
10.1.1.116,482.257583ms,134.708µs
10.1.1.114,482.443ms,142.791µs
10.1.1.112,551.117834ms,304.083µs
10.1.1.113,551.107333ms,22.35975ms
10.1.1.113,556.829042ms,51.958µs
10.1.1.113,556.924375ms,97.125µs
10.1.1.116,556.907792ms,87.875µs
10.1.1.114,585.259541ms,43.834µs
10.1.1.116,585.297542ms,163.333µs
10.1.1.113,603.5695ms,55.042µs
10.1.1.113,606.6525ms,375.25µs
10.1.1.113,609.748625ms,53.709µs
10.1.1.115,622.379625ms,89.041µs
10.1.1.112,622.554666ms,111.375µs
10.1.1.116,634.978125ms,791.625µs
10.1.1.116,640.803625ms,300.083µs
10.1.1.114,641.137375ms,11.63325ms
10.1.1.112,641.043083ms,87.292µs
10.1.1.112,641.238458ms,78.292µs
10.1.1.116,641.351292ms,69.583µs
10.1.1.115,687.437292ms,102.291µs
10.1.1.112,742.9805ms,62.416µs
10.1.1.116,755.391083ms,85.167µs
10.1.1.112,757.920542ms,137.542µs
10.1.1.111,764.268334ms,56.375µs
10.1.1.116,772.1675ms,127.167667ms
10.1.1.113,772.206667ms,56.042µs
10.1.1.114,778.577208ms,45.75µs
10.1.1.114,788.277666ms,33.542µs
10.1.1.111,788.235166ms,49.125µs
10.1.1.115,804.662084ms,152.416µs
10.1.1.112,804.674042ms,166.542µs
10.1.1.114,805.169833ms,37.125µs
10.1.1.114,809.540125ms,93.515416ms
10.1.1.113,822.184334ms,46µs
10.1.1.114,829.825292ms,531.083µs
10.1.1.115,839.140542ms,41.625µs
10.1.1.116,845.719542ms,71.125µs
10.1.1.114,845.721583ms,33.334µs
10.1.1.113,849.376ms,36.25µs
10.1.1.113,862.772834ms,36.833µs
10.1.1.116,863.489875ms,71.334µs
10.1.1.114,889.046708ms,54.709µs
10.1.1.113,898.684917ms,62.959µs
10.1.1.113,898.842291ms,39.917µs
10.1.1.113,898.897125ms,39.708µs
10.1.1.112,909.925208ms,56.125µs
10.1.1.111,919.915958ms,51.208µs
10.1.1.114,926.722958ms,33µs
10.1.1.112,930.890625ms,61.917µs
10.1.1.114,958.991459ms,38.667µs
10.1.1.113,959.173417ms,38.25µs
10.1.1.111,959.32575ms,110.875µs
10.1.1.113,536.456583ms,147.542µs
10.1.1.116,356.484167ms,30.375µs
10.1.1.116,959.682084ms,55.584µs
10.1.1.113,963.988042ms,53.917µs
10.1.1.111,975.528167ms,73.333µs
10.1.1.111,975.527708ms,35.084µs
10.1.1.112,552.592959ms,75.334µs
10.1.1.112,556.279917ms,413.542µs
10.1.1.116,1.028466625s,49.291µs
10.1.1.116,592.553875ms,70.375µs
10.1.1.113,576.779959ms,41.834µs
10.1.1.113,564.434666ms,56.333µs
10.1.1.115,582.49025ms,136.125µs
10.1.1.112,589.69025ms,3.469125ms
10.1.1.115,581.533916ms,47.167µs
10.1.1.116,585.031167ms,61.833µs
10.1.1.116,615.619542ms,72.583µs
10.1.1.114,537.056042ms,48.917µs
10.1.1.115,112.565791ms,108.75µs
10.1.1.116,544.9635ms,70.958µs
10.1.1.116,579.291541ms,166.333µs
10.1.1.114,529.581417ms,47.667µs
10.1.1.114,495.604833ms,81.875µs
10.1.1.112,579.819084ms,104.042µs
10.1.1.115,558.385334ms,90.708µs
10.1.1.115,683.874833ms,64.75µs
10.1.1.113,548.947833ms,40.959µs
10.1.1.116,1.171418709s,170.792µs
10.1.1.116,567.156291ms,36.584µs
10.1.1.113,580.108208ms,47.75µs
10.1.1.113,566.568958ms,59.125µs
10.1.1.112,672.831333ms,50.833µs
10.1.1.112,595.507208ms,74.708µs
10.1.1.116,621.626708ms,39.708µs
10.1.1.115,632.769292ms,71.125µs
10.1.1.116,558.004834ms,52.125µs
10.1.1.111,549.101792ms,77.958µs
10.1.1.116,540.924458ms,57.5µs
10.1.1.116,531.265542ms,70.166µs
10.1.1.113,561.637166ms,70.542µs
10.1.1.112,578.812ms,76.666µs
10.1.1.111,579.186875ms,257.125µs
10.1.1.113,595.496792ms,41.75µs
10.1.1.116,521.902666ms,250.792µs
10.1.1.116,545.698333ms,41.25µs
10.1.1.112,734.2865ms,81.75µs
10.1.1.115,565.926083ms,145.25µs
10.1.1.113,570.787084ms,85.167µs
10.1.1.114,632.472083ms,53.458µs
10.1.1.113,536.34675ms,92.125µs
10.1.1.114,518.412167ms,77.834µs
10.1.1.114,576.506042ms,36.542µs
10.1.1.112,693.784125ms,46.208µs
10.1.1.112,546.809ms,130.708µs
10.1.1.116,573.319792ms,47.708µs
10.1.1.111,516.060583ms,107.875µs
10.1.1.116,563.378375ms,411.125µs
10.1.1.115,500.406625ms,54.125µs
10.1.1.113,678.729166ms,100.375µs
